#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:testPrimates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:testPrimates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:testPrimates">
#                <taxonset id="TaxonSet.testPrimates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:testPrimates" name="distribution" x="@birthRate.t:testPrimates">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:testPrimates" name="distribution">
#            <parameter id="kappa.s:testPrimates" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@testPrimates" id="treeLikelihood.testPrimates" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:testPrimates">
#            <siteModel id="SiteModel.s:testPrimates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:testPrimates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:testPrimates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:testPrimates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:testPrimates" kappa="@kappa.s:testPrimates" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:testPrimates" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:testPrimates" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:testPrimates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:testPrimates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
22000	-1846.465463189279	-1850.2173440260121	3.7518808367330934	-1850.2173440260121	0.0698377605338463	9.994829673184693	18.324122238508433	28.31726504405067	0.30010851086124324	0.24306217856125995	0.2103709012221652	0.24645840935533148	
23000	-1843.6549312293103	-1846.9288552548387	3.273924025528551	-1846.9288552548387	0.06750300177322367	9.51687286198015	12.00524956145788	28.31726504405067	0.2955472183956583	0.24996637686362513	0.20737083927159336	0.24711556546912308	
24000	-1844.9719535596037	-1848.6665466557713	3.6945930961675604	-1848.6665466557713	0.06128175612482381	9.93754193261916	33.11158778134568	28.31726504405067	0.2955472183956583	0.24555913795322795	0.21177807818199054	0.24711556546912308	
25000	-1848.3602271786756	-1852.5723925225336	4.212165343858048	-1852.5723925225336	0.06530579218984223	10.455114180309648	18.135908163206924	28.31726504405067	0.2955472183956583	0.24577796229756915	0.21155925383764934	0.24711556546912308	
26000	-1843.2260165361863	-1848.6573686879487	5.431352151762358	-1848.6573686879487	0.05928559612217792	10.135154593960273	14.778696165920374	14.434890955848317	0.2955472183956583	0.24577796229756915	0.21155925383764934	0.24711556546912308	
27000	-1838.373903883485	-1843.3716166637632	4.997712780278379	-1843.3716166637632	0.07273476511224021	9.701515222476294	18.072497640760336	14.434890955848317	0.30542905411850285	0.24577796229756915	0.19037499315982429	0.25841799042410357	
28000	-1840.924760160712	-1846.4977842149442	5.5730240542322775	-1846.4977842149442	0.052101511792651795	9.852930303909687	42.424367331875594	11.678885624105819	0.30542905411850285	0.24528818264600596	0.19086477281138747	0.25841799042410357	
29000	-1838.1375781782692	-1841.6491103354897	3.5115321572203957	-1841.6491103354897	0.06124319511820224	9.068051434793524	38.18717210004926	21.295241288782996	0.30542905411850285	0.24528818264600596	0.19170893022740484	0.2575738330080862	
30000	-1836.9541138724164	-1841.8909336109998	4.936819738583404	-1841.8909336109998	0.05949535851821065	10.493339016156533	20.761261250347836	21.295241288782996	0.30542905411850285	0.25400811088667125	0.18298900198673956	0.2575738330080862	
31000	-1845.4718817396727	-1849.9432321408754	4.471350401202651	-1849.9432321408754	0.05930805551044427	10.02786967877578	29.46209781611814	21.295241288782996	0.31319416758572977	0.2529816937452222	0.1865509654345047	0.24727317323454312	
32000	-1836.3520191625635	-1840.4680091992068	4.115990036643289	-1840.4680091992068	0.06640896661759124	9.893169921008278	21.996314295676633	23.394042822411784	0.31319416758572977	0.2513004255494333	0.1882322336302936	0.24727317323454312	
33000	-1837.5770420628692	-1842.3744994174433	4.797457354574082	-1842.3744994174433	0.0642976596539732	9.507448947864333	13.130529355810499	14.478124619065316	0.31319416758572977	0.2513004255494333	0.1882322336302936	0.24727317323454312	
34000	-1836.4915689062632	-1840.2963907401029	3.804821833839628	-1840.2963907401029	0.06164140230958209	9.480682174609278	31.650856002977743	22.41251993852048	0.32515993216131067	0.24838778448546456	0.1793773005918915	0.24707498276133305	
35000	-1835.286380511764	-1840.0008017803589	4.7144212685947435	-1840.0008017803589	0.060427207499017366	10.390281609364393	20.615656615427213	22.41251993852048	0.32515993216131067	0.25224117083608905	0.15289127452334642	0.2697076224792536	
36000	-1834.1044170341067	-1838.770402996229	4.66598596212233	-1838.770402996229	0.05505271508566156	10.34184630289198	15.040250362582249	22.41251993852048	0.3122020493589152	0.25224117083608905	0.15289127452334642	0.2826655052816491	
37000	-1835.3863831852861	-1839.2097618286007	3.8233786433144514	-1839.2097618286007	0.06879606313348854	9.499238984084101	25.04988995294798	22.41251993852048	0.3122020493589152	0.25224117083608905	0.15289127452334642	0.2826655052816491	
38000	-1832.4420799711388	-1836.7926521296188	4.35057215848001	-1836.7926521296188	0.06684915027544684	10.02643249924966	20.611464858118566	22.41251993852048	0.32455363960338773	0.25485960091334287	0.1405396842788739	0.28004707520439526	
39000	-1835.535183943392	-1840.6578441709853	5.122660227593345	-1840.6578441709853	0.058830863140327996	10.27471831643746	19.333393319406586	17.805930224727497	0.32455363960338773	0.2535721889478526	0.1405396842788739	0.2813344871698855	
40000	-1834.4775157736688	-1839.2120768834018	4.734561109732979	-1839.2120768834018	0.06144668672051854	9.886619198577094	31.09695263640552	17.805930224727497	0.30103492799906323	0.2535721889478526	0.17408794405840067	0.2713049389946833	
41000	-1837.9163853049947	-1840.284550207325	2.368164902330401	-1840.284550207325	0.06517496548187626	8.905780458134778	9.68858580801411	31.804884617740505	0.30103492799906323	0.2535721889478526	0.17408794405840067	0.2713049389946833	
42000	-1836.6851165150774	-1839.3786487224972	2.6935322074198176	-1839.3786487224972	0.07136388956588416	9.131019236656151	11.006647477846826	30.58569298574459	0.3051856644121467	0.2535721889478526	0.17408794405840067	0.26715420258159983	
43000	-1840.3067543355653	-1842.4928417778733	2.1860874423080325	-1842.4928417778733	0.06383800994865421	8.623574471544366	40.05728064288748	30.58569298574459	0.2946850608035622	0.2535721889478526	0.17408794405840067	0.2776548061901843	
44000	-1840.374647355833	-1843.8389928674928	3.464345511659719	-1843.8389928674928	0.07124284451207655	9.901832540896052	20.4133824022913	30.58569298574459	0.2946850608035622	0.27163613522240043	0.15602399778385284	0.2776548061901843	
45000	-1835.653963154244	-1840.2152218802032	4.561258725959209	-1840.2152218802032	0.06421317469712497	9.933870734962621	16.78524408280429	19.653120287122782	0.2979632513306865	0.266833284769911	0.15602399778385284	0.2791794661155494	
46000	-1835.7357594334483	-1840.2732386014814	4.537479168033146	-1840.2732386014814	0.057948540221314106	10.451998572355349	17.880797597266266	24.77421491419785	0.2979632513306865	0.266833284769911	0.15602399778385284	0.2791794661155494	
47000	-1837.7240548473544	-1841.4117096857242	3.6876548383697063	-1841.4117096857242	0.05200818600965872	9.602174242691909	48.4676940385571	24.77421491419785	0.321159360057453	0.24871072176052605	0.15095045206647134	0.2791794661155494	
48000	-1834.1384596810217	-1838.1145848509548	3.976125169932992	-1838.1145848509548	0.06801101479923506	9.890644574255194	22.4790399757359	24.77421491419785	0.324527044777023	0.24166701764409546	0.15095045206647134	0.28285548551241	
49000	-1836.9580476983306	-1839.9879152832464	3.02986758491571	-1839.9879152832464	0.06755082344213048	8.944386989237913	35.23536813474441	24.77421491419785	0.324527044777023	0.24166701764409546	0.15095045206647134	0.28285548551241	
50000	-1837.9574762495045	-1841.96379160717	4.0063153576655495	-1841.96379160717	0.05705622747283252	9.920834761987752	15.675303628824734	24.77421491419785	0.324527044777023	0.24166701764409546	0.15095045206647134	0.28285548551241	
51000	-1834.5997105714964	-1838.498287485157	3.898576913660678	-1838.498287485157	0.05979410324828027	9.81309631798288	31.809683569184603	24.77421491419785	0.32047175504241576	0.24166701764409546	0.1550057418010786	0.28285548551241	
52000	-1833.4179755453881	-1838.3314970690483	4.91352152366014	-1838.3314970690483	0.05867166401245826	10.392013737566492	17.797915199119373	20.586920834384703	0.32047175504241576	0.24166701764409546	0.1550057418010786	0.28285548551241	
53000	-1835.949440035998	-1840.5380630566774	4.5886230206794	-1840.5380630566774	0.0621038156806818	10.067115234585751	14.13150672405183	20.586920834384703	0.31870450325268646	0.2607660914073266	0.13590666803784746	0.28462273730213933	
54000	-1834.5726250164428	-1839.0013476078275	4.4287225913846076	-1839.0013476078275	0.05923439416620978	9.907214805290959	35.419618531079784	20.586920834384703	0.31870450325268646	0.2607660914073266	0.13590666803784746	0.28462273730213933	
55000	-1833.923124783472	-1838.7700796506665	4.846954867194315	-1838.7700796506665	0.06094633652692593	10.325447081100666	17.457466245056757	20.586920834384703	0.31870450325268646	0.2607660914073266	0.15359882551550055	0.26693057982448626	
56000	-1833.3641410993969	-1838.2506057551577	4.8864646557609515	-1838.2506057551577	0.06129971235105656	10.364956869667303	22.23448924809154	20.586920834384703	0.31870450325268646	0.2607660914073266	0.15359882551550055	0.26693057982448626	
57000	-1834.9159918512335	-1839.0598423380495	4.143850486816133	-1839.0598423380495	0.07211335732993647	9.622342700722484	22.884251195306966	20.586920834384703	0.34667453095012735	0.2607660914073266	0.15359882551550055	0.2389605521270454	
58000	-1833.8253269391903	-1838.1231054715954	4.2977785324050695	-1838.1231054715954	0.058517146504620816	10.184508812709911	15.359770003555223	24.490258679870134	0.34667453095012735	0.2607660914073266	0.15359882551550055	0.2389605521270454	
59000	-1838.086501275454	-1842.3228593127076	4.2363580372535585	-1842.3228593127076	0.060976765894413504	10.1230883175584	30.858697968389926	24.490258679870134	0.34847602159753704	0.2607660914073266	0.15179733486809083	0.2389605521270454	
60000	-1834.914187661479	-1839.9057572440245	4.9915695825454485	-1839.9057572440245	0.07169850387432283	9.742113595536647	24.97547939576897	14.76361705578057	0.34847602159753704	0.2607660914073266	0.15179733486809083	0.2389605521270454	
61000	-1833.7129975144264	-1837.1756519291541	3.4626544147276217	-1837.1756519291541	0.06390996252280406	9.266317729478343	35.06689513718954	23.65568674796959	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
62000	-1835.2639801903604	-1838.774060000603	3.510079810242658	-1838.774060000603	0.06016652766942248	9.31374312499338	10.878406237763457	23.65568674796959	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
63000	-1840.5577377344073	-1844.3665357762022	3.8087980417949616	-1844.3665357762022	0.0666709034732862	9.612461356545683	23.99858027684466	23.65568674796959	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
64000	-1834.0218721247172	-1838.2625310409107	4.240658916193588	-1838.2625310409107	0.063046496476621	10.04432223094431	17.76722719676014	23.65568674796959	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
65000	-1834.086804465107	-1837.9041256570322	3.8173211919253056	-1837.9041256570322	0.07108991712867756	9.620984506676027	15.37064830435465	23.65568674796959	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
66000	-1833.88765281866	-1838.8869942769045	4.999341458244564	-1838.8869942769045	0.05903329575016876	9.997201084039013	35.01569164317166	16.590114840227596	0.3379604827973306	0.2685403373048261	0.15179733486809083	0.24170184502975234	
67000	-1836.637191591745	-1840.6969062024054	4.059714610660435	-1840.6969062024054	0.0632231694932766	9.057574236454883	37.5854946148158	16.590114840227596	0.3369591467355105	0.2685403373048261	0.1333160412843633	0.2611844746753	
68000	-1836.7791048143583	-1841.69037929053	4.911274476171745	-1841.69037929053	0.07214443526360591	9.909134101966194	25.607957441117957	16.590114840227596	0.3369591467355105	0.2685403373048261	0.1333160412843633	0.2611844746753	
69000	-1842.824897205145	-1846.256825361709	3.4319281565639903	-1846.256825361709	0.07632400980795308	8.896676838450073	19.107696365790794	20.463944374639283	0.3369591467355105	0.2685403373048261	0.1333160412843633	0.2611844746753	
70000	-1836.6694928074464	-1841.8854827954287	5.21598998798241	-1841.8854827954287	0.0570356112577541	10.680738669868493	23.603405342940157	20.463944374639283	0.3369591467355105	0.2685403373048261	0.1333160412843633	0.2611844746753	
71000	-1835.7651200755656	-1840.3914667265467	4.62634665098114	-1840.3914667265467	0.05560836893905511	10.091095332867223	36.38459837296148	20.463944374639283	0.3369591467355105	0.22701506635817795	0.1748413122310115	0.2611844746753	
72000	-1835.4505062351122	-1840.3293746350184	4.878868399906184	-1840.3293746350184	0.06125024526917637	10.343617081792267	19.69525082402125	20.463944374639283	0.3369591467355105	0.22701506635817795	0.1748413122310115	0.2611844746753	
73000	-1835.8142845932018	-1839.758299341323	3.9440147481210586	-1839.758299341323	0.0688407579245097	9.408763430007141	12.396459853437259	20.463944374639283	0.3446248565686529	0.2366654148451782	0.15752525391086883	0.2611844746753	
74000	-1837.1210148318034	-1840.8953641281234	3.7743492963199676	-1840.8953641281234	0.0838964065096085	9.23909797820605	22.296994418622415	20.463944374639283	0.3446248565686529	0.2366654148451782	0.15752525391086883	0.2611844746753	
75000	-1836.2699227493981	-1839.0995310125238	2.8296082631256825	-1839.0995310125238	0.07034073846196746	8.294356945011765	36.586474153616905	20.463944374639283	0.3345834470449691	0.2366654148451782	0.16756666343455262	0.2611844746753	
76000	-1836.48098239957	-1841.2939191213463	4.812936721776427	-1841.2939191213463	0.055238536383418496	10.27768540366251	16.11515201985667	20.463944374639283	0.315400750983711	0.25584811090643633	0.16756666343455262	0.2611844746753	
77000	-1834.420955910325	-1838.9099437828766	4.488987872551703	-1838.9099437828766	0.06872424635968095	9.623891620148596	15.417394850825888	17.667655049967355	0.301157490673234	0.25584811090643633	0.16756666343455262	0.275427734985777	
78000	-1834.4668227873306	-1839.1517362053855	4.6849134180549195	-1839.1517362053855	0.0680037448157393	9.819817165651813	20.563779471918433	17.667655049967355	0.301157490673234	0.25584811090643633	0.16756666343455262	0.275427734985777	
79000	-1837.993669240187	-1842.1836467676999	4.189977527512911	-1842.1836467676999	0.0790877893148263	9.324881275109805	28.403100839265125	17.667655049967355	0.3083670842895868	0.25584811090643633	0.16035706981819978	0.275427734985777	
80000	-1832.5961935910095	-1837.5518435865458	4.955649995536381	-1837.5518435865458	0.06374297480336942	10.090553743133274	24.01227800689688	17.667655049967355	0.3249809774948309	0.25584811090643633	0.16035706981819978	0.2588138417805329	
81000	-1831.4476146254697	-1836.5352723506646	5.087657725194903	-1836.5352723506646	0.0598583404522865	10.400021569652953	25.198288546023278	19.13556191505888	0.3249809774948309	0.25584811090643633	0.16035706981819978	0.2588138417805329	
82000	-1834.15165620262	-1838.084945775405	3.933289572784968	-1838.084945775405	0.07160510098366547	9.245653417243018	26.764963254832175	19.13556191505888	0.3249809774948309	0.25584811090643633	0.16035706981819978	0.2588138417805329	
83000	-1832.0840676753064	-1836.889496844908	4.805429169601757	-1836.889496844908	0.0657569763458438	10.117793014059806	17.35238911722882	19.13556191505888	0.3249809774948309	0.25584811090643633	0.16035706981819978	0.2588138417805329	
